Sample,Timing Type,Environemnt,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
global_uptime_0,0,19w_3368kb,0.759,0.72,0.587,0.691,0.653,0.771,0.462,0.495,0.519,0.601,0.613,0.681,0.563,0.622,0.538,0.458,0.533,0.634,0.651,0.747,0.734,0.567,0.681,0.631,0.562,0.572,0.462,0.543,0.537,0.714
global_uptime_0,1,19w_3368kb,3269.386,3364.442,3279.983,3303.798,3322.776,3290.576,3270.846,3354.398,3331.493,3311.326,3369.966,3226.651,3265.295,3244.7,3241.815,3285.661,3317.654,3346.607,3410.385,3329.09,3355.369,3317.929,3356.424,3313.045,3350.622,3149.768,3276.133,3139.449,3268.693,3292.897
global_uptime_1,0,23w_2782kb,1.076,0.512,0.844,0.503,0.562,0.525,0.57,0.575,0.757,0.595,0.511,0.496,0.543,0.509,0.543,0.635,0.543,0.667,0.49,0.428,0.546,0.511,0.67,0.53,0.514,0.655,0.563,0.647,0.55,0.648
global_uptime_1,1,23w_2782kb,3316.834,3220.298,3249.24,3319.85,3218.371,3248.207,3315.439,3274.572,3192.612,3201.796,3235.506,3318.967,3182.996,3293.238,3270.385,3291.477,3331.781,3304.5,3221.351,3289.84,3183.244,3260.409,3352.264,3416.911,3328.705,3235.699,3199.328,3275.206,3241.78,3193.905
global_uptime_2,0,5w_12800kb,0.694,0.596,0.511,0.479,0.557,0.527,0.557,0.502,0.531,0.526,0.434,0.474,0.493,0.538,0.466,0.493,0.679,1.194,0.582,0.47,0.559,0.618,0.542,0.469,0.527,0.563,0.782,0.726,0.484,0.471
global_uptime_2,1,5w_12800kb,3125.276,3266.581,3245.931,3255.844,3292.878,3151.06,3145.141,3149.438,3183.058,3307.384,3205.183,3173.802,3194.843,3186.743,3144.804,3209.062,3195.451,3151.713,3160.688,3371.094,3421.445,3236.073,3212.643,3185.723,3287.436,3183.383,3189.883,3267.058,3239.636,3219.079
global_uptime_3,0,16w_4000kb,0.743,0.514,0.626,0.51,0.507,0.614,0.467,0.595,0.536,0.557,0.801,0.727,0.825,0.526,0.726,0.52,0.645,0.444,0.641,0.678,0.701,0.555,0.502,0.472,0.492,0.537,0.428,0.475,0.548,0.499
global_uptime_3,1,16w_4000kb,3382.13,3286.474,3327.904,3258.234,3264.713,3204.919,3236.315,3351.581,3279.248,3252.807,3372.147,3379.419,3320.484,3344.499,3256.375,3238.699,3262.913,3299.603,3420.165,3424.302,3296.667,3310.038,3254.681,3230.235,3259.736,3281.731,3316.964,3478.256,3352.753,3348.2
global_uptime_4,0,20w_3200kb,0.718,0.547,0.478,0.753,0.56,0.502,0.534,0.51,0.552,0.443,0.492,0.547,0.522,0.628,0.499,0.446,0.513,0.563,0.49,0.96,0.53,0.453,0.486,0.48,0.516,0.506,0.634,0.527,0.505,0.772
global_uptime_4,1,20w_3200kb,3126.528,3103.951,3122.74,3218.544,3211.035,3219.644,3234.504,3231.086,3216.843,3216.164,3207.682,3191.804,3207.009,3183.686,3263.752,3216.23,3163.56,3186.575,3236.376,3170.397,3328.58,3208.836,3171.865,3181.609,3247.272,3236.921,3222.396,3274.676,3175.663,3170.566
global_uptime_5,0,2w_32000kb,0.649,0.503,0.683,0.745,0.479,1.101,0.618,0.551,0.624,0.54,0.543,0.463,0.635,0.581,0.496,0.55,0.492,0.506,0.558,0.522,0.495,0.621,0.651,0.677,0.724,0.518,0.422,0.573,0.706,0.566
global_uptime_5,1,2w_32000kb,2918.661,3011.464,3076.159,2938.986,3096.196,2986.024,2914.532,2984.199,3013.799,2979.35,2914.463,3039.621,2917.234,2902.22,2900.712,2933.735,3019.098,3025.236,2934.45,2920.625,2951.236,2963.664,3002.178,3040.493,2935.958,3020.227,2930.991,3014.663,3137.705,2925.069
global_uptime_6,0,3w_21333kb,0.751,0.523,0.579,0.532,0.668,0.501,0.603,0.554,0.907,0.494,0.469,0.492,0.537,0.602,0.7,0.554,0.624,0.484,0.498,0.584,0.47,0.619,0.65,0.505,0.519,0.789,0.557,0.523,0.532,0.528
global_uptime_6,1,3w_21333kb,3024.125,3065.258,3073.175,3013.558,3099.975,3023.06,3020.158,3037.715,3122.878,2953.666,3055.073,3005.688,3010.938,3044.544,3123.705,3042.627,3083.434,3042.783,2944.531,3113.384,2995.279,2996.112,3081.832,3079.019,3042.674,3102.315,3035.606,3055.425,3071.496,3074.077
global_uptime_7,0,12w_5333kb,0.715,0.7,0.65,0.53,0.488,0.468,0.512,0.572,0.497,0.506,1.783,0.5,0.566,0.679,0.513,0.824,0.505,0.498,0.726,0.503,0.575,0.516,0.61,0.484,0.539,0.8,0.554,0.492,0.568,0.639
