Sample,Timing Type,Environemnt,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
group_uptime_0,0,10w_12800kb,1.449,1.053,1.369,1.394,1.411,1.045,1.388,1.032,1.258,1.363,1.045,0.89,1.095,1.106,1.103,1.028,1.015,1.354,0.978,1.266,1.05,1.058,1.039,0.957,1.38,1.204,1.286,1.154,1.351,1.388
group_uptime_0,1,10w_12800kb,1950.197,1831.248,1904.299,1955.143,1994.543,1844.235,1905.316,1838.454,1856.426,1918.233,1832.174,1864.988,1955.683,1832.828,1853.755,1867.307,1807.395,1883.304,1836.519,1896.165,1838.113,1830.596,1869.915,1881.758,1925.242,1860.059,1890.617,1890.444,1926.792,1947.734
group_uptime_1,0,11w_11636kb,1.251,1.047,1.082,1.153,1.362,0.999,0.986,1.105,1.184,1.084,1.1,0.985,1.223,0.965,1.226,1.092,0.941,1.761,1.633,1.371,1.353,1.337,1.6,1.029,1.136,0.921,1.337,1.041,1.26,1.142
group_uptime_1,1,11w_11636kb,1995.9,1888.436,1948.676,1878.816,1865.322,1881.841,1819.681,1903.442,1852.822,1889.86,1829.819,1857.713,1892.261,1810.579,1830.489,1887.965,1868.61,1885.803,1987.122,1946.241,1853.465,1939.908,1889.8,1952.176,1921.99,1894.88,1970.427,1836.246,1951.563,1864.161
group_uptime_2,0,12w_10666kb,1.376,1.479,1.086,0.962,0.926,1.097,1.168,1.379,1.025,1.006,1.256,1.157,1.048,1.107,0.916,1.025,1.123,1.547,1.34,1.447,1.311,1.111,1.028,1.056,1.108,1.125,1.184,1.062,1.047,1.081
group_uptime_2,1,12w_10666kb,2126.769,1882.9,1859.478,1887.448,2003.782,1916.959,1881.309,1898.513,1945.3,1963.882,1983.872,1864.581,1866.711,1820.915,1825.971,1937.669,1984.451,1873.694,1902.062,1853.09,1905.817,1900.655,1877.077,1815.891,1875.827,1939.979,1954.518,1816.728,1905.805,1876.132
group_uptime_3,0,13w_9846kb,1.394,1.191,1.066,1.157,1.173,1.101,1.183,1.575,1.505,1.096,1.335,0.995,0.902,1.5,1.12,1.047,1.171,1.266,0.991,1.086,0.876,1.059,1.053,1.06,1.028,1.107,1.224,1.011,1.078,1.159
group_uptime_3,1,13w_9846kb,1950.55,1873.884,1877.247,1959.061,1878.844,1868.839,1959.001,1908.731,1886.167,1882.086,1900.186,1843.983,1942.024,1811.327,1888.75,1830.754,1913.616,1941.163,1914.469,1859.781,1816.53,1919.217,1894.198,1919.472,1845.392,1978.527,1988.535,1827.731,1910.492,1877.511
group_uptime_4,0,14w_9142b,1.538,1.577,1.134,0.999,1.173,0.992,1.052,1.166,1.581,0.963,1.027,1.017,1.108,0.883,1.196,0.982,1.127,1.674,0.995,0.991,0.86,0.902,1.271,1.366,1.023,0.994,1.473,1.309,1.066,1.237
group_uptime_4,1,14w_9142b,1943.375,1813.881,1847.078,1816.36,1926.476,1862.804,1840.842,1843.588,1933.316,1842.524,1855.802,1935.556,1874.587,1911.405,1872.789,1867.084,1841.714,1846.504,1815.248,1902.083,1875.98,1888.429,1913.632,1943.905,1821.86,1863.009,1850.868,1814.863,1882.538,1888.376
group_uptime_5,0,15w_8533kb,1.537,0.86,1.105,1.038,0.956,1.738,1.285,0.993,1.398,1.08,1.452,1.055,1.159,1.288,1.102,1.268,1.122,1.156,0.999,1.312,1.031,1.127,0.975,1.083,1.075,1.041,1.209,0.978,0.968,1.157
