Sample,Timing Type,Environemnt,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
resource_daily_uptime_0,0,19w_3368kb,0.689,0.631,0.532,0.611,0.675,0.548,0.797,0.592,0.547,0.52,0.653,0.529,0.619,0.536,0.537,0.673,0.539,0.547,0.646,0.662,0.874,0.522,0.581,0.522,0.569,0.537,0.581,0.452,0.445,0.59
resource_daily_uptime_0,1,19w_3368kb,344.048,338.143,380.268,366.526,338.71,349.864,350.307,353.11,327.097,322.963,358.889,338.838,402.056,325.85,333.239,334.949,337.82,390.673,344.918,371.65,345.335,361.921,337.707,344.278,338.09,346.001,369.941,337.372,378.824,327.106
resource_daily_uptime_1,0,23w_2782kb,0.727,0.51,0.535,0.59,0.519,0.504,0.662,0.982,0.475,0.651,0.52,0.611,0.443,0.507,0.462,0.526,0.556,0.436,0.519,0.509,0.519,0.43,0.576,0.652,0.583,0.605,1.009,0.513,0.505,0.665
resource_daily_uptime_1,1,23w_2782kb,346.102,353.92,342.93,333.43,333.229,334.623,346.471,339.878,352.851,361.728,344.259,332.192,330.119,335.539,343.385,365.68,337.632,358.017,336.47,331.387,345.66,335.77,367.852,354.628,342.445,366.281,399.43,359.186,340.235,334.353
resource_daily_uptime_2,0,5w_12800kb,0.67,0.736,0.523,0.432,0.537,0.57,0.503,0.522,0.543,0.596,0.727,0.535,0.759,0.531,0.522,0.56,0.667,0.616,0.572,0.577,0.515,0.522,0.6,0.628,0.541,0.618,0.632,0.554,0.572,0.599
resource_daily_uptime_2,1,5w_12800kb,385.818,354.511,323.95,358.026,333.21,358.833,348.995,345.506,342.957,344.453,344.364,329.198,337.459,343.499,338.134,343.586,416.523,355.683,349.368,349.476,351.949,351.458,341.345,371.021,346.733,352.851,360.213,344.887,353.334,336.152
resource_daily_uptime_3,0,16w_4000kb,0.704,0.776,0.617,0.515,0.661,0.646,0.591,0.659,0.505,0.683,0.737,0.756,0.459,0.604,0.602,0.53,0.679,0.479,0.527,0.554,0.567,0.549,0.654,0.705,0.546,0.713,0.523,0.535,0.855,0.653
resource_daily_uptime_3,1,16w_4000kb,362.745,357.637,367.44,362.243,358.799,358.968,356.944,332.32,335.188,357.69,380.54,417.01,403.543,342.622,355.906,364.01,347.758,349.014,327.561,351.445,340.185,350.922,392.355,409.294,347.284,329.427,354.904,343.878,385.906,368.672
resource_daily_uptime_4,0,20w_3200kb,0.944,0.613,0.711,0.508,0.452,0.585,0.598,0.554,0.623,0.534,0.809,0.638,0.524,0.45,0.612,0.542,0.618,0.731,0.517,0.562,0.909,0.544,0.636,0.636,0.572,0.529,0.669,0.69,0.594,0.753
resource_daily_uptime_4,1,20w_3200kb,359.277,339.147,336.187,331.627,338.268,344.016,346.535,340.989,343.778,345.331,430.252,357.914,336.358,353.74,329.489,331.211,339.553,345.841,351.273,334.62,360.191,340.251,371.346,348.237,361.933,369.457,388.442,407.499,372.093,332.474
