Sample,Timing Type,Environemnt,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
resource_uptime_0,0,19w_3368kb,0.687,0.687,0.955,0.567,0.538,0.659,0.597,0.437,0.543,0.539,0.795,0.559,0.706,0.742,0.544,0.59,0.457,0.733,0.543,0.794,0.728,0.651,0.712,0.571,0.567,0.609,0.517,0.633,0.651,0.533
resource_uptime_0,1,19w_3368kb,70.342,63.215,67.597,66.687,66.397,55.689,53.485,54.533,59.612,55.041,73.265,56.589,57.792,57.079,57.49,59.159,57.566,58.0,58.11,56.57,59.8,63.615,60.66,56.517,55.818,54.572,67.617,62.514,60.135,68.902
resource_uptime_1,0,23w_2782kb,0.797,0.767,0.751,0.529,0.52,0.487,0.552,0.58,0.462,0.517,0.521,0.553,0.518,0.443,0.604,0.571,0.446,0.885,0.577,0.628,0.789,0.828,1.019,0.528,0.828,0.545,0.817,0.477,0.638,0.565
resource_uptime_1,1,23w_2782kb,63.416,59.502,55.303,52.838,53.534,62.922,53.855,54.771,54.877,54.293,54.363,54.201,53.277,64.77,58.992,64.943,64.464,58.377,54.521,58.921,56.587,65.145,57.757,55.972,56.526,55.753,55.469,70.035,60.298,60.045
resource_uptime_2,0,5w_12800kb,1.074,0.674,0.465,0.581,0.582,0.724,0.704,0.546,0.556,0.588,0.585,0.762,0.604,0.532,0.954,0.586,0.544,0.54,0.783,0.864,0.719,0.559,0.606,0.576,0.742,0.624,0.617,0.58,0.537,0.551
resource_uptime_2,1,5w_12800kb,66.32,57.436,61.115,69.08,60.845,59.136,63.661,56.975,56.854,61.227,63.224,61.687,59.669,60.762,62.794,58.259,62.264,59.848,60.588,56.296,54.191,53.905,56.907,54.862,56.234,55.565,70.244,55.827,54.357,57.888
resource_uptime_3,0,16w_4000kb,0.894,0.549,0.558,0.56,0.541,0.586,0.547,1.394,0.792,0.438,0.571,0.488,0.772,0.74,0.829,0.847,0.535,0.614,0.629,0.927,0.617,0.546,0.526,0.866,0.614,0.872,0.612,0.597,0.56,0.582
resource_uptime_3,1,16w_4000kb,66.112,61.262,61.453,55.852,55.928,62.018,58.768,59.701,60.521,64.798,67.064,70.111,61.59,62.138,61.779,63.874,57.122,60.112,58.106,65.114,55.826,61.682,72.742,75.929,60.923,60.195,58.927,69.978,59.182,60.197
resource_uptime_4,0,20w_3200kb,0.73,0.892,0.767,0.696,0.504,0.608,0.452,0.45,0.767,0.572,0.673,0.58,0.466,0.465,0.607,0.555,0.572,0.705,0.587,0.58,0.494,0.589,0.741,0.64,0.62,0.547,0.592,0.661,0.741,0.571
resource_uptime_4,1,20w_3200kb,61.643,58.002,63.524,73.176,57.66,64.561,68.503,72.202,62.394,64.588,66.849,61.009,55.787,54.283,62.097,62.263,60.046,60.33,65.635,59.12,60.892,65.289,65.115,59.634,63.462,65.238,59.967,62.992,71.738,58.725
resource_uptime_5,0,2w_32000kb,0.765,0.606,0.684,0.552,0.541,0.682,0.525,0.502,0.713,0.434,0.441,0.534,0.663,0.532,0.603,0.508,0.524,0.504,0.507,0.553,0.516,0.558,0.832,0.53,0.563,0.545,0.557,0.51,0.554,0.551
